 What is the main component of ratemaking?,Losses,
What is the incurred loss for CY2016 and CY2017?," The incurred loss for CY2016 is the case reserve at the end of 2016 (2,600). The incurred loss for CY2017 is the case reserve at the end of 2017 (3,000) plus total payment in 2017 (1,500).",
When does the accident occur and how does it affect AY2016?," The accident occurs in 2016, so all loss transactions related to this claim will contribute to AY2016.",
What is the incurred loss for AY2016 as of 12/31/2016 and 12/31/2017?," As of 12/31/2016, the incurred loss for AY2016 is the case reserve (2,600). As of 12/31/2017, the incurred loss for AY2016 is the case reserve (3,000) plus the total payment (1,500).",
How does the policy effective date in 2015 affect PY2015?," Since the policy is effective in 2015, all loss transactions related to this claim will contribute to PY2015.",
What is the incurred loss for PY2015 as of 12/31/2015 and 12/31/2017?," As of 12/31/2015, the incurred loss for PY2015 is the case reserve (zero). As of 12/31/2017, the incurred loss for PY2015 is the case reserve (3,000) plus the total payment (1,500).What year does a policy contribute to if it's written in 2015?",2015
"What is the incurred loss for PY2015 as of 12/31/2017 given that the company has paid a total of 1,500 and the case reserve is 3,000?","4,500",
Will the transactions of a policy written in 2015 contribute to PY2016?,No,
What is the incurred loss for PY2016 as of 12/31/2017 for a policy written in 2015?,0,
Which policy was effective from 1/1/2017 to 12/31/2017?,Policy A,
What was the expiration date of policy B?,3/31/2018,
Which policy had the accident date of 6/28/2017?,Policy B,
What was the case reserve of claim #1 on 7/2/2017?,"4,000",
What was the incremental paid loss of claim #1 on 7/20/2017?,"2,300",
What was the case reserve of claim #2 on 1/3/2018?,"5,000",
What was the incremental paid loss of claim #3 on 8/15/2018?,"1,400What is the method to calculate incurred losses for a specific calendar year?","To calculate incurred losses for a specific calendar year, we need the paid losses for that year and the change in reserves during the year."
What is the method to calculate incurred losses for a specific accident year?,"To calculate incurred losses for a specific accident year, we only consider loss transactions from accidents that occurred in that year.",
What is a case reserve?,Case reserve is the amount of money set aside to cover potential liabilities for claims.,
What is the case reserve of claim #2 at the end of CY2017?,"The case reserve of claim #2 at the end of CY2017 is 3,000.",
What is the case reserve of claim #2 at the end of CY2018?,"The case reserve of claim #2 at the end of CY2018 is 1,000.",
What is the case reserve of claim #3 at the end of CY2018?,"The case reserve of claim #3 at the end of CY2018 is 1,100.When did accidents for claims #1 and #2 occur?",In 2017
What is the status of claim #1 as of 12/31/2017?,Claim #1 is fully paid,
What is the status of claim #2 as of 12/31/2017?,No payments have been made on claim #2,
Does claim #1 have a case reserve?,"No, claim #1 has no case reserve because it is fully paid",
What is the case reserve for claim #2?,"Claim #2 has a case reserve of 3,000",
Which claim is associated with Policy C written in 2018?,Claim #3 is associated with Policy C,
What is the payment status of claim #3 as of the end of 2018?,"The company has paid 1,400 for claim #3",
What is the case reserve for claim #3 as of the end of 2018?,"The company has a case reserve of 1,100 for claim #3",
Which are the most common methods of aggregating losses for ratemaking?,Accident year and policy year are the most common methods of aggregating losses for ratemaking,
Why is accident year often used for aggregating losses?,"Accident year is often used because the data then reflects a more responsive loss experience, as the data tends to be more recent.What could be a disadvantage of using accident year data in ratemaking?"," It may be less responsive, as the data will likely be outdated."
Why is calendar year data generally not used in ratemaking?, Because there is often a mismatch in timing between the premiums and losses.,
